Center,,alt,,,,
26.5061149474498,80.2295120092377,129,,,,
,,,,,,
Diametrically Opposite Points,,,,,,
start_lat,start_lon,end_lat,end_lon,bearing (deg),start,end
26.505753810831,80.2295144183212,26.5064760832039,80.2295096001144,0,1,5
26.5063687759081,80.2292264803503,26.5058611175376,80.2297975368761,315,2,6
26.5061127789521,80.2291106204249,26.5061171139724,80.2299133981017,270,3,7
26.5058580522494,80.2292298885918,26.5063718412644,80.2297941311441,225,4,8
26.5064760832039,80.2295096001144,26.505753810831,80.2295144183212,180,5,1
26.5058611175376,80.2297975368761,26.5063687759081,80.2292264803503,135,6,2
26.5061171139724,80.2299133981017,26.5061127789521,80.2291106204249,90,7,3
26.5063718412644,80.2297941311441,26.5058580522494,80.2292298885918,45,8,4
